"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12016","Plus: open and log pricing","chromium","2026-02-18","passed","2026-02-18","","Price_Validation.spec.ts","",""
"","1891","Search: read top 2 course cards","edge","2026-02-18","passed","2026-02-18","","Testing_Filters.spec.ts","",""
"","5038","Search: navigate and search","edge","2026-02-18","passed","2026-02-18","","Testing_Filters.spec.ts","",""
"","5351","Search: apply filters","edge","2026-02-18","passed","2026-02-18","","Testing_Filters.spec.ts","",""
"","159","Plus: validate pricing again","edge","2026-02-18","passed","2026-02-18","","Price_Validation.spec.ts","",""
"","532","University: re-submit and validate error","chromium","2026-02-18","passed","2026-02-18","","Handling_Form.spec.ts","",""
"","18518","Filters: iterate languages 0-4 and list levels","chromium","2026-02-18","passed","2026-02-18","","Language_Filters.spec.ts","",""
"","261","Plus: validate pricing again","chromium","2026-02-18","passed","2026-02-18","","Price_Validation.spec.ts","",""
"","1137","Search: read top 2 course cards","chromium","2026-02-18","passed","2026-02-18","","Testing_Filters.spec.ts","",""
"","9173","Plus: open and log pricing","edge","2026-02-18","passed","2026-02-18","","Price_Validation.spec.ts","",""
"","3160","University: re-submit and validate error","edge","2026-02-18","passed","2026-02-18","","Handling_Form.spec.ts","",""
"","15526","Filters: open and count languages","edge","2026-02-18","passed","2026-02-18","","Language_Filters.spec.ts","",""
"","6911","Search: apply filters","chromium","2026-02-18","passed","2026-02-18","","Testing_Filters.spec.ts","",""
"","18850","University: open and submit form","chromium","2026-02-18","passed","2026-02-18","","Handling_Form.spec.ts","",""
"","6495","Search: navigate and search","chromium","2026-02-18","passed","2026-02-18","","Testing_Filters.spec.ts","",""
"","26869","University: open and submit form","edge","2026-02-18","passed","2026-02-18","","Handling_Form.spec.ts","",""
"","9650","Filters: open and count languages","chromium","2026-02-18","passed","2026-02-18","","Language_Filters.spec.ts","",""
"","17081","Filters: iterate languages 0-4 and list levels","edge","2026-02-18","passed","2026-02-18","","Language_Filters.spec.ts","",""
